Command,Intent
Please conclude our chat now.,End
I think we're done talking for today.,End
Enroll a new participant with details.,Register_User
Create a new user profile.,Register_User
Let's discuss a different subject.,New
Change the topic to global warming.,New
Can you remind me what we discussed last week?,Retrieve Context
Bring up our previous conversation on health.,Retrieve Context
End this conversation as soon as possible.,End
"That's enough for today, let's stop.",End
Register John Doe in our system.,Register_User
Add a user named Alice.,Register_User
"Let's wrap up this chat.","End"
"I think we should stop talking now.","End"
"Time to close our conversation.","End"
"That's enough discussion for today.","End"
"Finish our session, please.","End"
"Let’s conclude this dialogue.","End"
"I want to end our chat right now.","End"
"Cease our conversation immediately.","End"
"Can we stop our discussion now?","End"
"Put an end to our talk, please.","End"
"Sign up a new member.","Register_User"
"Incorporate a new user into our system.","Register_User"
"Add someone new to the database.","Register_User"
"Register a new participant now.","Register_User"
"Enlist a new user right here.","Register_User"
"Create a new account for a user.","Register_User"
"Get a new user registered.","Register_User"
"Put a new member on our list.","Register_User"
"Can we add a new user profile?","Register_User"
"I need to sign up a new person.","Register_User"
"Switch the topic of discussion.","New"
"Let’s move on to something new.","New"
"Initiate a new subject now.","New"
"Start discussing another topic.","New"
"Can we change the conversation focus?","New"
"Begin a fresh conversation.","New"
"Shift our discussion to another theme.","New"
"Open a new dialogue on health.","New"
"Let's transition to a different topic.","New"
"Introduce a new discussion point.","New"
"What was our previous topic again?","Retrieve Context"
"Can you recall what we last discussed?","Retrieve Context"
"Remind me about our last conversation.","Retrieve Context"
"Bring up the last topic we talked about.","Retrieve Context"
"I need to remember our previous dialogue.","Retrieve Context"
"What did we mention in our last talk?","Retrieve Context"
"Retrieve the details from our last session.","Retrieve Context"
"Can you bring back what we discussed last time?","Retrieve Context"
"Summarize our last meeting, please.","Retrieve Context"
"Refresh my memory on our recent chat.","Retrieve Context"
"Please terminate our current discussion.","End"
"Let’s finish off this topic.","End"
"I'd like to end our conversation now.","End"
"Could we stop our dialogue here?","End"
"Time to put an end to this discussion.","End"
"Enough talking, let's end it.","End"
"Conclude this chat immediately.","End"
"Stop this conversation, please.","End"
"We should wrap this up now.","End"
"Finish this dialogue now.","End"
"Add a new contact to our list.","Register_User"
"Enroll a fresh user now.","Register_User"
"Let’s register a new entry in our system.","Register_User"
"I want to add a new account.","Register_User"
"Put this person into our database.","Register_User"
"Register a new client today.","Register_User"
"Add this new subscriber.","Register_User"
"Please sign up this individual.","Register_User"
"Incorporate a newcomer into our records.","Register_User"
"Time to enroll a new member.","Register_User"
"Start a fresh topic now.","New"
"Let’s begin a new discussion topic.","New"
"Can we switch our focus?","New"
"Move to a new conversation.","New"
"Let's divert to another subject.","New"
"Open up a different discussion thread.","New"
"Shift to a new conversation angle.","New"
"Initiate a fresh dialogue about technology.","New"
"Begin a new narrative on politics.","New"
"Change our topic to entertainment.","New"
"What were we discussing previously?","Retrieve Context"
"Bring up our prior conversation details.","Retrieve Context"
"Can you go back to our last topic?","Retrieve Context"
"Review what we talked about before.","Retrieve Context"
"Please summarize our previous discussion.","Retrieve Context"
"Return to our last discussion point.","Retrieve Context"
"Revisit our conversation on yesterday's topic.","Retrieve Context"
"Can you remind me of our last chat?","Retrieve Context"
"Bring back our previous dialogue.","Retrieve Context"
"Recall the last subject we covered.","Retrieve Context"
"Could you end this dialogue now?","End"
"Time to close out our session.","End"
"I believe we should conclude now.","End"
"Let's call it quits on this conversation.","End"
"Put a stop to this discussion, immediately.","End"
"I think that's all for today's chat.","End"
"End our current chat session, please.","End"
"Let's halt our conversation here.","End"
"It's time to finish our dialogue.","End"
"Please wrap up this discussion.","End"
"Sign up another participant.","Register_User"
"Register a new user immediately.","Register_User"
"Can we add a new user now?","Register_User"
"I need to register someone new.","Register_User"
"Let’s get a new user set up.","Register_User"
